,Scores,BBox
71,0.9736817,"[[233.95045 531.34283]
 [286.16794 528.4419 ]
 [287.30017 548.82214]
 [235.08269 551.7231 ]]"
72,0.81692094,"[[290.40314 531.0797 ]
 [302.3375  531.0797 ]
 [302.3375  546.9922 ]
 [290.40314 546.9922 ]]"
73,0.9567843,"[[298.35938 529.09064]
 [340.1297  529.09064]
 [340.1297  548.98126]
 [298.35938 548.98126]]"
74,0.9554871,"[[ 59.671875 562.90466 ]
 [ 95.475    562.90466 ]
 [ 95.475    582.7953  ]
 [ 59.671875 582.7953  ]]"
75,0.9608275,"[[ 99.453125 562.90466 ]
 [125.310936 562.90466 ]
 [125.310936 584.78436 ]
 [ 99.453125 584.78436 ]]"
76,0.96314186,"[[129.28906 562.90466]
 [184.98282 562.90466]
 [184.98282 582.7953 ]
 [129.28906 582.7953 ]]"
77,0.97134715,"[[186.97188 562.90466]
 [230.73125 562.90466]
 [230.73125 584.78436]
 [186.97188 584.78436]]"
78,0.9723886,"[[477.375  590.7516]
 [515.1672 590.7516]
 [515.1672 612.6312]
 [477.375  612.6312]]"
79,0.9786008,"[[304.32657 592.7406 ]
 [340.1297  592.7406 ]
 [340.1297  612.6312 ]
 [304.32657 612.6312 ]]"
80,0.91234386,"[[461.4625 592.7406]
 [477.375  592.7406]
 [477.375  612.6312]
 [461.4625 612.6312]]"
81,1.016634,"[[113.376564 594.7297  ]
 [149.17969  594.7297  ]
 [149.17969  614.6203  ]
 [113.376564 614.6203  ]]"
82,0.84469587,"[[280.45782 594.7297 ]
 [302.3375  594.7297 ]
 [302.3375  612.6312 ]
 [280.45782 612.6312 ]]"
83,0.8821716,"[[ 99.453125 598.7078  ]
 [113.376564 598.7078  ]
 [113.376564 614.6203  ]
 [ 99.453125 614.6203  ]]"
84,1.002209,"[[205.48547 637.57104]
 [252.73335 643.477  ]
 [249.94868 665.7545 ]
 [202.7008  659.8485 ]]"
85,0.9795111,"[[250.62187 640.47815]
 [286.425   640.47815]
 [286.425   660.3688 ]
 [250.62187 660.3688 ]]"
86,0.96456236,"[[288.71277 637.9391 ]
 [336.14478 643.5194 ]
 [333.53793 665.6774 ]
 [286.10596 660.09717]]"
87,0.9677725,"[[449.52814 650.42346]
 [515.1672  650.42346]
 [515.1672  672.3031 ]
 [449.52814 672.3031 ]]"
88,0.9499203,"[[214.81876 662.3578 ]
 [256.58905 662.3578 ]
 [256.58905 686.22656]
 [214.81876 686.22656]]"
89,0.9499231,"[[143.2125  664.34686]
 [177.02657 664.34686]
 [177.02657 684.2375 ]
 [143.2125  684.2375 ]]"
90,0.9797317,"[[179.01562 664.34686]
 [214.81876 664.34686]
 [214.81876 684.2375 ]
 [179.01562 684.2375 ]]"
91,0.913099,"[[256.58905 664.34686]
 [302.3375  664.34686]
 [302.3375  686.22656]
 [256.58905 686.22656]]"
92,0.91089046,"[[304.32657 664.34686]
 [338.14062 664.34686]
 [338.14062 686.22656]
 [304.32657 686.22656]]"
93,1.0068492,"[[208.85156 690.2047 ]
 [274.49063 690.2047 ]
 [274.49063 710.09534]
 [208.85156 710.09534]]"
94,0.96912813,"[[278.46875 690.2047 ]
 [334.1625  690.2047 ]
 [334.1625  710.09534]
 [278.46875 710.09534]]"
95,0.91822165,"[[435.99075 699.10864]
 [475.23376 702.1273 ]
 [473.35    726.6162 ]
 [434.107   723.59753]]"
96,0.9558668,"[[471.4078  700.15   ]
 [517.15625 700.15   ]
 [517.15625 726.0078 ]
 [471.4078  726.0078 ]]"
97,0.95189375,"[[224.76407 714.0734 ]
 [258.57812 714.0734 ]
 [258.57812 735.9531 ]
 [224.76407 735.9531 ]]"
98,0.99564916,"[[260.5672  714.0734 ]
 [296.3703  714.0734 ]
 [296.3703  733.96405]
 [260.5672  733.96405]]"
99,0.97416157,"[[296.74884 712.3748 ]
 [341.1067  715.3321 ]
 [339.68085 736.7189 ]
 [295.32303 733.7616 ]]"
100,0.9782035,"[[258.57812 745.89844]
 [296.3703  745.89844]
 [296.3703  765.78906]
 [258.57812 765.78906]]"
101,0.99240786,"[[298.35938 747.8875 ]
 [340.1297  747.8875 ]
 [340.1297  767.77814]
 [298.35938 767.77814]]"
102,0.950619,"[[451.51718 747.8875 ]
 [477.375   747.8875 ]
 [477.375   767.77814]
 [451.51718 767.77814]]"
103,0.98792046,"[[479.36407 747.8875 ]
 [515.1672  747.8875 ]
 [515.1672  767.77814]
 [479.36407 767.77814]]"
104,1.0108396,"[[234.70938 771.7562 ]
 [274.49063 771.7562 ]
 [274.49063 793.6359 ]
 [234.70938 793.6359 ]]"
105,1.0000273,"[[276.47968 773.7453 ]
 [310.29376 773.7453 ]
 [310.29376 795.625  ]
 [276.47968 795.625  ]]"
106,0.9401716,"[[310.29376 775.7344 ]
 [340.1297  775.7344 ]
 [340.1297  795.625  ]
 [310.29376 795.625  ]]"
107,0.8837777,"[[465.4406  777.72345]
 [479.36407 777.72345]
 [479.36407 795.625  ]
 [465.4406  795.625  ]]"
108,0.9466876,"[[479.36407 775.7344 ]
 [515.1672  775.7344 ]
 [515.1672  795.625  ]
 [479.36407 795.625  ]]"
